orig_name,new_name,color,type,source,old_slug,new_slug,local_img
Lemon Ice,Silver Peak,grey,granite,hmg,lemon-ice,silver-peak,images/0075_Lemon_Ice.jpg
White Petal,Ash Ridge,grey,granite,hmg,white-petal,ash-ridge,images/0076_White_Petal.jpg
Newton Gold,Pietra Dorato,grey,granite,hmg,newton-gold,pietra-dorato,images/0077_Newton_Gold.jpg
Dry Leap,Mandorla Mountain,cream,granite,hmg,dry-leap,mandorla-mountain,images/0078_Dry_Leap.jpg
Golden Eagle,Fiamma Highland,red,granite,hmg,golden-eagle,fiamma-highland,images/0079_Golden_Eagle.jpg
Pigeon Eye,Rosso Boulder,red,granite,hmg,pigeon-eye,rosso-boulder,images/0080_Pigeon_Eye.jpg
Colombo Juprana,Walnut Massif,brown,granite,hmg,colombo-juprana,walnut-massif,images/0081_Colombo_Juprana.jpg
Antarctic Wild Forest,Slate Selvatico,grey,granite,hmg,antarctic-wild-forest,slate-selvatico,images/0082_Antarctic_Wild_Forest.jpg
Monarch Butter Flies,Forest Pinnacle,green,granite,hmg,monarch-butter-flies,forest-pinnacle,images/0083_Monarch_Butter_Flies.jpg
Coasta Esmarald,Sage Crest,green,granite,hmg,coasta-esmarald,sage-crest,images/0084_Coasta_Esmarald.jpg
Copenhagen,Saffron Upland,gold,granite,hmg,copenhagen,saffron-upland,images/0085_Copenhagen.jpg
Igneous Gold,Bronze Dorato,brown,granite,hmg,igneous-gold,bronze-dorato,images/0086_Igneous_Gold.jpg
Tigrato,Acciaio Tableland,silver,granite,hmg,tigrato,acciaio-tableland,images/0087_Tigrato.jpg
Crystal Yellow,Ardesia Cristallo,grey,granite,hmg,crystal-yellow,ardesia-cristallo,images/0088_Crystal_Yellow.jpg
Brass Blue,Giada Fastness,green,granite,hmg,brass-blue,giada-fastness,images/0089_Brass_Blue.jpg
Blue Star,Verde Stellare,green,granite,hmg,blue-star,verde-stellare,images/0090_Blue_Star.jpg
Nero Foxtail 2,Midnight Ridge,black,granite,hmg,nero-foxtail-2,midnight-ridge,images/0091_Nero_Foxtail_2.jpg
Nero Foxtail,Obsidian Summit,black,granite,hmg,nero-foxtail,obsidian-summit,images/0092_Nero_Foxtail.jpg
Titanium Gold,Eclipse Dorato,black,granite,hmg,titanium-gold,eclipse-dorato,images/0093_Titanium_Gold.jpg
Cizglex,Carbon Highland,black,granite,hmg,cizglex,carbon-highland,images/0094_Cizglex.jpg
Cizglex Hydro Finish,Shadow Boulder,black,granite,hmg,cizglex-hydro-finish,shadow-boulder,images/0095_Cizglex_Hydro_Finish.jpg
Diamon Cut,Pearl Translux,white,onyx,hmg,diamon-cut,pearl-translux,images/0096_Diamon_Cut.jpg
Adamas,Neve Aurora,white,onyx,hmg,adamas,neve-aurora,images/0097_Adamas.jpg
Adamas 1,Ghiaccio Opal,white,onyx,hmg,adamas-1,ghiaccio-opal,images/0098_Adamas_1.jpg
Bianco Allium Cepa,Lunare Nimbus,white,onyx,hmg,bianco-allium-cepa,lunare-nimbus,images/0099_Bianco_Allium_Cepa.jpg
Frozen Sea,Bianco Oceano,white,onyx,hmg,frozen-sea,bianco-oceano,images/0100_Frozen_Sea.jpg
Yellow River,Crystal Fluviale,white,onyx,hmg,yellow-river,crystal-fluviale,images/0101_Yellow_River.jpg
Bianco Lupine,Mocha Radiant,brown,onyx,hmg,bianco-lupine,mocha-radiant,images/0102_Bianco_Lupine.jpg
Bianco Hellebore,Alpine Vivid,white,onyx,hmg,bianco-hellebore,alpine-vivid,images/0103_Bianco_Hellebore.jpg
Aurum,Teak Luminoso,brown,onyx,hmg,aurum,teak-luminoso,images/0104_Aurum.jpg
Crested 1,Chestnut Incanto,brown,onyx,hmg,crested-1,chestnut-incanto,images/0105_Crested_1.jpg
Agouti,Bronze Translux,brown,onyx,hmg,agouti,bronze-translux,images/0106_Agouti.jpg
Yellow River 1,Noce Fluviale,brown,onyx,hmg,yellow-river-1,noce-fluviale,images/0107_Yellow_River_1.jpg
Bassent VC,Mogano Opal,brown,onyx,hmg,bassent-vc,mogano-opal,images/0108_Bassent_VC.jpg
Arco Baleno 2,Castagno Nimbus,brown,onyx,hmg,arco-baleno-2,castagno-nimbus,images/0109_Arco_Baleno_2.jpg
Horn Wiper,Marrone Iridato,brown,onyx,hmg,horn-wiper,marrone-iridato,images/0110_Horn_Wiper.jpg
Golden Adams,Walnut Splendore,brown,onyx,hmg,golden-adams,walnut-splendore,images/0111_Golden_Adams.jpg
Crested 2,Mocha Bagliore,brown,onyx,hmg,crested-2,mocha-bagliore,images/0112_Crested_2.jpg
Aventurine,Espresso Fiamma,brown,onyx,hmg,aventurine,espresso-fiamma,images/0113_Aventurine.jpg
Ambigonite,Sage Candore,green,onyx,hmg,ambigonite,sage-candore,images/0114_Ambigonite.jpg
Azul Aurum,Mirror Opalino,silver,onyx,hmg,azul-aurum,mirror-opalino,images/0115_Azul_Aurum.jpg
Bleu Dore,Malachite Glow,green,onyx,hmg,bleu-dore,malachite-glow,images/0116_Bleu_Dore.jpg
Verde Tettigonia,Smeraldo Radiant,green,onyx,hmg,verde-tettigonia,smeraldo-radiant,images/0117_Verde_Tettigonia.jpg
Fluorite,Bosco Vivid,green,onyx,hmg,fluorite,bosco-vivid,images/0118_Fluorite.jpg
